Model,Threshold,Sem_Covered_Action_Count_AvgPerRun,Max_UniqueGoldActionsCovered_InASingleRun,Sem_Action_Coverage_Percent
ChatGPT-4o,0.5,19.1,29,29.384615384615387
ChatGPT-o3,0.5,32.6,43,50.15384615384615
Claude3.7,0.5,34.9,39,53.69230769230769
DeepSeek(R1),0.5,20.9,27,32.15384615384615
Gemini-2.5-Pro-Preview-05-06,0.5,24.5,36,37.69230769230769
Grok3,0.5,19.4,43,29.846153846153843
Llama4,0.5,15.3,25,23.53846153846154
Mistral,0.5,15.1,17,23.23076923076923
Qwen3,0.5,27.4,40,42.15384615384615
ChatGPT-4o,0.6,15.9,25,24.46153846153846
ChatGPT-o3,0.6,28.5,38,43.84615384615385
Claude3.7,0.6,26.5,30,40.76923076923077
DeepSeek(R1),0.6,16.1,21,24.769230769230774
Gemini-2.5-Pro-Preview-05-06,0.6,17.9,29,27.538461538461537
Grok3,0.6,17.3,38,26.615384615384617
Llama4,0.6,12.7,21,19.53846153846154
Mistral,0.6,13.1,15,20.153846153846153
Qwen3,0.6,23.6,33,36.30769230769231
ChatGPT-4o,0.7,11.1,20,17.076923076923077
ChatGPT-o3,0.7,22.1,28,34.0
Claude3.7,0.7,19.3,24,29.692307692307693
DeepSeek(R1),0.7,9.5,14,14.615384615384615
Gemini-2.5-Pro-Preview-05-06,0.7,10.4,20,16.0
Grok3,0.7,11.8,24,18.153846153846153
Llama4,0.7,8.2,13,12.615384615384613
Mistral,0.7,8.5,11,13.076923076923077
Qwen3,0.7,16.4,25,25.230769230769226
