attributes_preserved,attributes_missing,attributes_added,attributes_total_baseline,classes_preserved,classes_missing,classes_added,classes_total_baseline,enum_values_preserved,enum_values_missing,enum_values_added,enum_values_total_baseline,enums_preserved,enums_missing,enums_added,enums_total_baseline,packages_preserved,packages_missing,packages_added,packages_total_baseline,relationships_preserved,relationships_missing,relationships_added,relationships_total_baseline,Overall_Preservation_%,Total_Baseline_Elements,Total_Preserved_Elements,Total_Added_Elements,File,Address,CollectionPoint,CollectionRequest,Coordinates,NotificationService,NotificationTemplate,OpeningHours,PlatformManager,Product,RoleManager,RoleManager <<service>>,RoutePlan,SearchFilter,ServiceProvider,ServiceRequest,ServiceRequestDetails,TimeRange,TransportRequest,User,UserAccount,UserCredentials,UserProfile,ValidationResult,WasteJourney,WasteTracking,TotalMethodsInScope,Model,Run,Target_Class_Methods,Extra_Methods_Count,Unique_Method_Names,Redundancy,ParamRichness,ReturnTypeCompleteness,Percentage_Methods_With_UC,Percentage_Methods_With_Action,Percentage_Methods_With_Both,Percentage_Methods_Without
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run1.json,0,2,2,0,4,0,0,0,2,1,0,1,1,1,3,0,0,2,0,4,6,2,0,2,0,33,ChatGPT-4o,1,33,0,33,1.0,0.45454545454545453,39.39393939393939,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run10.json,0,1,0,0,2,0,0,0,2,1,0,0,1,4,3,0,0,0,0,5,6,2,0,1,0,28,ChatGPT-4o,10,28,0,28,1.0,1.1428571428571428,39.285714285714285,82.14285714285714,0.0,0.0,17.857142857142858
0,81,0,81,11,9,0,20,0,62,0,62,0,14,0,14,5,2,0,7,0,29,0,29,7.51,213,16,0,ChatGPT-4o_run2.json,0,1,3,0,0,0,0,0,2,1,0,0,1,0,1,0,0,3,0,8,6,2,0,2,0,30,ChatGPT-4o,2,30,0,29,1.0344827586206897,1.2,40.0,100.0,0.0,0.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run3.json,0,2,2,0,4,0,0,0,2,1,0,0,1,1,3,0,0,2,0,5,5,2,0,1,0,31,ChatGPT-4o,3,31,0,30,1.0333333333333334,1.1290322580645162,16.129032258064516,100.0,100.0,100.0,0.0
0,81,0,81,12,8,0,20,0,62,0,62,0,14,0,14,0,7,0,7,0,29,0,29,5.63,213,12,0,ChatGPT-4o_run4.json,0,1,3,0,0,0,0,0,3,1,0,0,1,1,1,0,0,3,0,5,4,2,0,1,0,26,ChatGPT-4o,4,26,0,25,1.04,1.6538461538461537,57.69230769230769,100.0,0.0,0.0,0.0
0,81,0,81,4,16,4,20,8,54,10,62,3,11,3,14,0,7,0,7,0,29,8,29,7.04,213,15,25,ChatGPT-4o_run5.json,0,3,0,0,0,0,0,4,2,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,1,24,ChatGPT-4o,5,24,0,23,1.0434782608695652,1.75,8.333333333333334,100.0,100.0,100.0,0.0
0,81,0,81,12,8,0,20,0,62,0,62,0,14,0,14,6,1,0,7,0,29,0,29,8.45,213,18,0,ChatGPT-4o_run6.json,0,1,1,0,4,0,0,0,2,1,0,0,1,0,3,0,0,2,0,5,3,2,0,2,0,27,ChatGPT-4o,6,27,0,27,1.0,1.4444444444444444,48.148148148148145,88.88888888888889,0.0,0.0,11.11111111111111
0,81,0,81,11,9,0,20,0,62,0,62,0,14,0,14,5,2,0,7,0,29,0,29,7.51,213,16,0,ChatGPT-4o_run7.json,0,1,2,0,0,0,0,0,2,1,0,0,1,0,2,0,0,2,0,6,6,2,0,1,0,26,ChatGPT-4o,7,26,0,26,1.0,1.3846153846153846,42.30769230769231,100.0,0.0,0.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run8.json,0,1,0,0,0,0,0,0,2,1,0,0,1,1,3,0,0,0,0,4,3,1,0,1,0,18,ChatGPT-4o,8,18,0,18,1.0,0.8888888888888888,16.666666666666668,88.88888888888889,0.0,0.0,11.11111111111111
0,81,0,81,12,8,0,20,0,62,0,62,0,14,0,14,0,7,0,7,0,29,0,29,5.63,213,12,0,ChatGPT-4o_run9.json,0,1,2,0,5,0,0,0,2,1,0,0,1,0,3,0,0,2,0,6,5,2,0,2,0,32,ChatGPT-4o,9,32,0,32,1.0,0.78125,37.5,90.625,0.0,0.0,9.375
