Core_Method_Name,Global_Frequency,Num_LLMs_Generated,Agreement_Percent
verifyEmail,63,9,100.00
updatePassword,30,9,100.00
cancelRequest,51,9,100.00
assignRole,70,9,100.00
resetPassword,53,9,100.00
sendVerificationEmail,44,8,88.89
acceptRequest,31,8,88.89
cancel,30,8,88.89
updateDetails,50,8,88.89
validateCredentials,39,8,88.89
updateProfile,69,8,88.89
generatePasswordResetToken,36,8,88.89
lockAccount,39,8,88.89
deactivateAccount,53,8,88.89
updateStatus,29,7,77.78
validatePasswordStrength,33,7,77.78
validateRoleTransition,29,7,77.78
updateLocation,29,7,77.78
activateAccount,21,7,77.78
deactivate,35,7,77.78
publishListing,34,7,77.78
scheduleTransport,30,7,77.78
createAccount,21,7,77.78
schedule,24,6,66.67
scheduleCollection,19,6,66.67
validateEmailFormat,24,6,66.67
login,19,6,66.67
createListing,25,6,66.67
addStage,25,6,66.67
sendNotification,29,6,66.67
updateListing,27,6,66.67
updateProfileDetails,26,6,66.67
recordLogin,21,5,55.56
validate,28,5,55.56
applyFilters,21,4,44.44
listProduct,23,4,44.44
sendPasswordResetConfirmation,20,3,33.33
