Core_Method_Name,Global_Frequency,Dominant_Class,Num_Instances_In_Dominant_Class,Total_Instances_Generated_For_Core_Method,Num_LLMs_Generated_Method,Num_LLMs_Matched_Dominant_Class,MatchRate_Percent
assignRole,70,RoleManager,67,70,9,9,100.00
updateProfile,69,UserProfile,35,69,8,8,100.00
deactivateAccount,53,UserAccount,50,53,8,8,100.00
resetPassword,53,UserCredentials,44,53,9,9,100.00
cancelRequest,51,ServiceRequest,51,51,9,9,100.00
sendPasswordResetConfirmation,20,NotificationService,20,20,3,3,100.00
sendVerificationEmail,44,NotificationService,43,44,8,8,100.00
lockAccount,39,UserAccount,38,39,8,8,100.00
validateCredentials,39,UserCredentials,34,39,8,8,100.00
deactivate,35,UserAccount,26,35,7,7,100.00
generatePasswordResetToken,36,UserCredentials,36,36,8,8,100.00
publishListing,34,Product,34,34,7,7,100.00
validatePasswordStrength,33,UserCredentials,30,33,7,7,100.00
sendNotification,29,NotificationService,28,29,6,6,100.00
updatePassword,30,UserCredentials,30,30,9,9,100.00
cancel,30,ServiceRequest,30,30,8,8,100.00
schedule,24,ServiceRequest,23,24,6,6,100.00
createListing,25,Product,25,25,6,6,100.00
addStage,25,WasteJourney,25,25,6,6,100.00
updateListing,27,Product,27,27,6,6,100.00
validateRoleTransition,29,RoleManager,29,29,7,7,100.00
createAccount,21,UserAccount,21,21,7,7,100.00
applyFilters,21,SearchFilter,21,21,4,4,100.00
activateAccount,21,UserAccount,21,21,7,7,100.00
listProduct,23,Product,23,23,4,4,100.00
verifyEmail,63,UserProfile,39,63,9,8,88.89
updateStatus,29,ServiceRequest,13,29,7,6,85.71
scheduleTransport,30,TransportRequest,23,30,7,6,85.71
updateProfileDetails,26,UserProfile,18,26,6,5,83.33
scheduleCollection,19,CollectionRequest,17,19,6,5,83.33
login,19,UserAccount,18,19,6,5,83.33
validateEmailFormat,24,UserProfile,18,24,6,5,83.33
recordLogin,21,UserAccount,12,21,5,4,80.00
updateDetails,50,CollectionPoint,23,50,8,6,75.00
updateLocation,29,WasteJourney,19,29,7,5,71.43
validate,28,Address,11,28,5,3,60.00
acceptRequest,31,CollectionRequest,9,31,8,4,50.00
