Core_Method_Name,Global_Frequency,Num_LLMs_Generated,Agreement_Percent
cancelRequest,51,9,100.0
resetPassword,53,9,100.0
updatePassword,30,9,100.0
assignRole,70,9,100.0
verifyEmail,63,9,100.0
acceptRequest,31,8,88.9
lockAccount,39,8,88.9
deactivateAccount,53,8,88.9
sendVerificationEmail,44,8,88.9
updateDetails,50,8,88.9
generatePasswordResetToken,36,8,88.9
cancel,30,8,88.9
validateCredentials,39,8,88.9
updateProfile,69,8,88.9
validateRoleTransition,29,7,77.8
validatePasswordStrength,33,7,77.8
deactivate,35,7,77.8
publishListing,34,7,77.8
createAccount,21,7,77.8
updateLocation,29,7,77.8
scheduleTransport,30,7,77.8
updateStatus,29,7,77.8
activateAccount,21,7,77.8
addStage,25,6,66.7
createListing,25,6,66.7
validateEmailFormat,24,6,66.7
schedule,24,6,66.7
sendNotification,29,6,66.7
login,19,6,66.7
updateProfileDetails,26,6,66.7
scheduleCollection,19,6,66.7
updateListing,27,6,66.7
validate,28,5,55.6
recordLogin,21,5,55.6
listProduct,23,4,44.4
applyFilters,21,4,44.4
sendPasswordResetConfirmation,20,3,33.3
