MethodName,GlobalFrequency
assignRole,70
updateProfile,69
verifyEmail,63
deactivateAccount,53
resetPassword,53
cancelRequest,51
updateDetails,50
sendVerificationEmail,44
lockAccount,39
validateCredentials,39
generatePasswordResetToken,36
deactivate,35
publishListing,34
validatePasswordStrength,33
acceptRequest,31
scheduleTransport,30
updatePassword,30
cancel,30
updateLocation,29
sendNotification,29
updateStatus,29
validateRoleTransition,29
validate,28
updateListing,27
updateProfileDetails,26
createListing,25
addStage,25
schedule,24
validateEmailFormat,24
listProduct,23
activateAccount,21
createAccount,21
recordLogin,21
applyFilters,21
sendPasswordResetConfirmation,20
login,19
scheduleCollection,19
