Core_Method_Name,Dominant_Class,Num_LLMs_Generating_Method,Num_LLMs_Placing_In_Dominant_Class,Placement_Consistency_Rate (%),Dominant_Class_Instance_Count,Total_Instances_of_Method,Global_Frequency
lockAccount,UserAccount,8,8,100.00,38,39,39
updatePassword,UserCredentials,9,9,100.00,30,30,30
publishListing,Product,7,7,100.00,34,34,34
sendPasswordResetConfirmation,NotificationService,3,3,100.00,20,20,20
listProduct,Product,4,4,100.00,23,23,23
updateListing,Product,6,6,100.00,27,27,27
activateAccount,UserAccount,7,7,100.00,21,21,21
deactivateAccount,UserAccount,8,8,100.00,50,53,53
schedule,ServiceRequest,6,6,100.00,23,24,24
sendNotification,NotificationService,6,6,100.00,28,29,29
generatePasswordResetToken,UserCredentials,8,8,100.00,36,36,36
validateCredentials,UserCredentials,8,8,100.00,34,39,39
updateProfile,UserProfile,8,8,100.00,35,69,69
applyFilters,SearchFilter,4,4,100.00,21,21,21
createAccount,UserAccount,7,7,100.00,21,21,21
cancel,ServiceRequest,8,8,100.00,30,30,30
cancelRequest,ServiceRequest,9,9,100.00,51,51,51
validateRoleTransition,RoleManager,7,7,100.00,29,29,29
sendVerificationEmail,NotificationService,8,8,100.00,43,44,44
createListing,Product,6,6,100.00,25,25,25
resetPassword,UserCredentials,9,9,100.00,44,53,53
addStage,WasteJourney,6,6,100.00,25,25,25
deactivate,UserAccount,7,7,100.00,26,35,35
assignRole,RoleManager,9,9,100.00,67,70,70
validatePasswordStrength,UserCredentials,7,7,100.00,30,33,33
verifyEmail,UserProfile,9,8,88.89,39,63,63
updateStatus,ServiceRequest,7,6,85.71,13,29,29
scheduleTransport,TransportRequest,7,6,85.71,23,30,30
login,UserAccount,6,5,83.33,18,19,19
updateProfileDetails,UserProfile,6,5,83.33,18,26,26
validateEmailFormat,UserProfile,6,5,83.33,18,24,24
scheduleCollection,CollectionRequest,6,5,83.33,17,19,19
recordLogin,UserAccount,5,4,80.00,12,21,21
updateDetails,CollectionPoint,8,6,75.00,23,50,50
updateLocation,WasteJourney,7,5,71.43,19,29,29
validate,Address,5,3,60.00,11,28,28
acceptRequest,CollectionRequest,8,4,50.00,9,31,31
