model,run,Jaccard_vs_TopK_Benchmark
ChatGPT-4o,1,0.2500
ChatGPT-4o,10,0.2500
ChatGPT-4o,2,0.2941
ChatGPT-4o,3,0.2885
ChatGPT-4o,4,0.2400
ChatGPT-4o,5,0.1765
ChatGPT-4o,6,0.3061
ChatGPT-4o,7,0.2857
ChatGPT-4o,8,0.1957
ChatGPT-4o,9,0.2105
ChatGPT-o3,1,0.1481
ChatGPT-o3,10,0.2615
ChatGPT-o3,2,0.1961
ChatGPT-o3,3,0.2131
ChatGPT-o3,4,0.1800
ChatGPT-o3,5,0.1897
ChatGPT-o3,6,0.2344
ChatGPT-o3,7,0.1765
ChatGPT-o3,8,0.1449
ChatGPT-o3,9,0.1899
Claude3.7,1,0.1848
Claude3.7,10,0.2118
Claude3.7,2,0.2273
Claude3.7,3,0.1667
Claude3.7,4,0.2048
Claude3.7,5,0.1650
Claude3.7,6,0.1868
Claude3.7,7,0.1609
Claude3.7,8,0.1215
Claude3.7,9,0.2048
DeepSeek(R1),1,0.1127
DeepSeek(R1),10,0.1897
DeepSeek(R1),2,0.3103
DeepSeek(R1),3,0.2241
DeepSeek(R1),4,0.1452
DeepSeek(R1),5,0.3000
DeepSeek(R1),6,0.1111
DeepSeek(R1),7,0.2917
DeepSeek(R1),8,0.2800
DeepSeek(R1),9,0.1538
Gemini-2.5-Pro-Preview-05-06,1,0.1895
Gemini-2.5-Pro-Preview-05-06,10,0.1912
Gemini-2.5-Pro-Preview-05-06,2,0.1368
Gemini-2.5-Pro-Preview-05-06,3,0.2113
Gemini-2.5-Pro-Preview-05-06,4,0.1774
Gemini-2.5-Pro-Preview-05-06,5,0.0933
Gemini-2.5-Pro-Preview-05-06,6,0.1569
Gemini-2.5-Pro-Preview-05-06,7,0.1728
Gemini-2.5-Pro-Preview-05-06,8,0.1176
Gemini-2.5-Pro-Preview-05-06,9,0.1818
Grok3,1,0.2394
Grok3,10,0.0714
Grok3,2,0.2745
Grok3,3,0.2549
Grok3,4,0.1667
Grok3,5,0.1296
Grok3,6,0.0444
Grok3,7,0.2093
Grok3,8,0.0952
Grok3,9,0.1765
Llama4,1,0.3636
Llama4,10,0.3400
Llama4,2,0.3077
Llama4,3,0.2500
Llama4,4,0.3721
Llama4,5,0.3095
Llama4,6,0.2619
Llama4,7,0.3269
Llama4,8,0.3043
Llama4,9,0.2391
Mistral,1,0.2826
Mistral,10,0.2558
Mistral,2,0.2955
Mistral,3,0.2609
Mistral,4,0.2553
Mistral,5,0.2766
Mistral,6,0.2609
Mistral,7,0.2391
Mistral,8,0.2558
Mistral,9,0.2558
Qwen3,1,0.3396
Qwen3,10,0.4074
Qwen3,2,0.2281
Qwen3,3,0.2778
Qwen3,4,0.1897
Qwen3,5,0.2593
Qwen3,6,0.2154
Qwen3,7,0.3265
Qwen3,8,0.2203
Qwen3,9,0.3091
